Time,Distance
0,0
0.02,0.009983341
0.0841235,0.04083242
0.1096987,0.05214023
0.1315755,0.06114387
0.147833,0.06736711
0.1657194,0.07369838
0.1835559,0.07942545
0.1886663,0.08095185
0.1921044,0.08194908
0.1966747,0.08323718
0.2013558,0.08451143
0.2054903,0.08559842
0.2130986,0.08750277
0.2243056,0.09007651
0.2345053,0.09217334
0.2445927,0.09401136
0.2537571,0.09547403
0.2622354,0.09664878
0.2704169,0.09761778
0.2797592,0.09852444
0.2874809,0.09911165
0.29938,0.09972709
0.3170723,0.09998939
0.3227878,0.09990695
0.3299365,0.09968901
0.3367383,0.09936341
0.3434955,0.09892616
0.3476873,0.09859813
0.3554502,0.09787638
0.3632508,0.09700263
0.3725345,0.09577057
0.3810145,0.0944648
0.3871071,0.09342168
0.3957127,0.09180086
0.4053615,0.08978162
0.4143685,0.08770805
0.4227057,0.08563008
0.4321752,0.08308963
0.4415964,0.08037733
0.4495577,0.07794606
0.4576991,0.07533208
0.4655151,0.07270512
0.4757758,0.06908858
0.485095,0.0656461
0.4945319,0.06201494
0.5112343,0.05525505
0.5156963,0.05338196
0.5235529,0.05001987
0.531238,0.04665644
0.5395119,0.04295849
0.5465746,0.03974348
0.5540803,0.03627257
0.561501,0.03279073
0.5689664,0.02924241
0.5764542,0.02564249
0.5842136,0.02187414
0.5923486,0.01788818
0.5995838,0.01431798
0.6075071,0.01038693
0.6148802,0.006714121
0.6229846,0.002666649
0.6304227,0.001052059
0.6374757,0.004577
0.6450552,0.008358571
0.6525349,0.01207863
0.6610431,0.01628938
0.6673704,0.01940208
0.6756784,0.02345922
0.6822729,0.02665116
0.6905712,0.03062616
0.6971494,0.03374006
0.705018,0.0374166
0.7114559,0.04038183
0.7184461,0.04355396
0.7271829,0.04744349
0.7343916,0.05058485
0.7420598,0.05385425
0.7482085,0.05641884
0.7568152,0.05991855
0.7632041,0.06244505
0.7706145,0.06529554
0.777085,0.06771132
0.783275,0.06995607
0.7909091,0.072632
0.7981197,0.0750624
0.805086,0.07731783
0.812131,0.07950333
0.8192745,0.08161866
0.8261571,0.08355828
0.8331513,0.08542797
0.8416439,0.08755761
0.8484993,0.0891617
0.8552104,0.09063058
0.8619983,0.09201249
0.8700397,0.0935123
0.8766415,0.09463072
0.8839837,0.09575345
0.8921288,0.09684793
0.898663,0.09760991
0.9056106,0.09830582
0.9140188,0.09898932
0.9210371,0.09942593
0.926919,0.09969755
0.9343399,0.09991723
0.9429869,0.09999968
0.9493999,0.09994011
0.9575087,0.09971773
0.9643224,0.09940411
0.9716376,0.09893902
0.9781895,0.09841007
0.9841503,0.0978371
0.9935337,0.09675927
1.000013,0.09589059
1.009224,0.09448268
1.016041,0.09331154
1.02424,0.0917595
1.031999,0.09014862
1.040248,0.08828741
1.047483,0.08653107
1.05556,0.08443682
1.062523,0.08252081
1.070665,0.08015359
1.078007,0.07790522
1.085186,0.07560474
1.092869,0.07303545
1.100088,0.07052287
1.107917,0.06769411
1.114998,0.06504642
1.122879,0.06200376
1.131327,0.05863555
1.139172,0.05541378
1.146156,0.05247346
1.154153,0.04902871
1.161919,0.0456086
1.169149,0.04236221
1.176963,0.03879184
1.184217,0.0354241
1.192606,0.03147123
1.199126,0.02836067
1.207308,0.02441503
1.214153,0.02108255
1.220986,0.01773138
1.228806,0.01387051
1.235589,0.01050484
1.242856,0.006884971
1.250096,0.003269739
1.257122,0.0002424413
1.263958,0.003659736
1.271948,0.007647972
